CONSTANT const 1 0
DATATYPE int 1 6
ID size 1 10
ASSIGNMENT = 1 15
INTEGER 5 1 17
INIT init 3 20
LBRACE { 3 25
GRID_SIZE grid_size 4 29
LPAREN ( 4 38
INTEGER 5 4 39
COMMA , 4 40
INTEGER 5 4 42
RPAREN ) 4 43
COMMENT $ Comment with whitespace$ 4 45
ID place_agent 5 74
LPAREN ( 5 85
INTEGER 0 5 86
COMMA , 5 87
INTEGER 0 5 89
RPAREN ) 5 90
COMMENT $Comment without whitespace$ 5 91
PLACE_WUMPUS place_wumpus 6 122
LPAREN ( 6 134
INTEGER 4 6 135
COMMA , 6 136
INTEGER 4 6 138
RPAREN ) 6 139
PLACE_GOLD place_gold 7 143
LPAREN ( 7 153
INTEGER 4 7 154
COMMA , 7 155
INTEGER 0 7 157
RPAREN ) 7 158
PLACE_PIT place_pit 8 162
LPAREN ( 8 171
INTEGER 1 8 172
COMMA , 8 173
INTEGER 1 8 175
RPAREN ) 8 176
PLACE_PIT place_pit 9 180
LPAREN ( 9 189
INTEGER 1 9 190
COMMA , 9 191
INTEGER 3 9 193
RPAREN ) 9 194
PLACE_PIT place_pit 10 198
LPAREN ( 10 207
INTEGER 3 10 208
COMMA , 10 209
INTEGER 1 10 211
RPAREN ) 10 212
PLACE_PIT place_pit 11 216
LPAREN ( 11 225
INTEGER 3 11 226
COMMA , 11 227
INTEGER 3 11 229
RPAREN ) 11 230
RBRACE } 12 232
PLAY play 14 235
LBRACE { 14 240
IF if 15 244
LPAREN ( 15 247
SENSE_BREEZE sense_breeze 15 248
LPAREN ( 15 260
RPAREN ) 15 261
COMPARISON == 15 263
BOOLEAN false 15 266
SENSE_STENCH sense_stench 15 275
LPAREN ( 15 287
RPAREN ) 15 288
COMPARISON == 15 290
BOOLEAN false 15 293
RPAREN ) 15 298
LBRACE { 15 300
MOVE move 16 306
LPAREN ( 16 310
ID orth 16 312
RPAREN ) 16 316
COMMENT $Another comment$ 17 322
RBRACE } 18 342
SHOOT shoot 19 346
LPAREN ( 19 351
WEST west 19 352
RPAREN ) 19 356
COMMENT $A comment after shooting$ 19 358
MOVE move 20 387
LPAREN ( 20 391
WEST west 20 392
RPAREN ) 20 396
RBRACE } 21 398
