+------------+--------------+------+----------+
| Token Type |    Value     | Line | Position |
+------------+--------------+------+----------+
|     ID     |     Init     |  1   |    0     |
|  NEWLINE   |              |  1   |    4     |
|            |              |      |          |
|   LBRACE   |      {       |  1   |    5     |
|  NEWLINE   |              |  1   |    6     |
|            |              |      |          |
|     ID     | place_wumpus |  1   |    7     |
|   LPAREN   |      (       |  1   |    19    |
|  INTEGER   |      4       |  1   |    20    |
|   COMMA    |      ,       |  1   |    21    |
|  INTEGER   |      0       |  1   |    22    |
|   RPAREN   |      )       |  1   |    23    |
|  NEWLINE   |              |  1   |    24    |
|            |              |      |          |
|  NEWLINE   |              |  1   |    25    |
|            |              |      |          |
|     ID     |  place_gold  |  1   |    26    |
|   LPAREN   |      (       |  1   |    36    |
|  INTEGER   |      2       |  1   |    37    |
|   COMMA    |      ,       |  1   |    38    |
|  INTEGER   |      3       |  1   |    39    |
|   RPAREN   |      )       |  1   |    40    |
|  NEWLINE   |              |  1   |    41    |
|            |              |      |          |
|  NEWLINE   |              |  1   |    42    |
|            |              |      |          |
|     ID     |  place_pit   |  1   |    43    |
|   LPAREN   |      (       |  1   |    52    |
|  INTEGER   |      0       |  1   |    53    |
|   COMMA    |      ,       |  1   |    54    |
|  INTEGER   |      1       |  1   |    55    |
|   RPAREN   |      )       |  1   |    56    |
|  NEWLINE   |              |  1   |    57    |
|            |              |      |          |
|  NEWLINE   |              |  1   |    58    |
|            |              |      |          |
|     ID     | clear_rooom  |  1   |    59    |
|   LPAREN   |      (       |  1   |    70    |
|  INTEGER   |      0       |  1   |    71    |
|   COMMA    |      ,       |  1   |    72    |
|  INTEGER   |      0       |  1   |    73    |
|   RPAREN   |      )       |  1   |    74    |
|  NEWLINE   |              |  1   |    75    |
|            |              |      |          |
|   RBRACE   |      }       |  1   |    76    |
|  NEWLINE   |              |  1   |    77    |
|            |              |      |          |
|  NEWLINE   |              |  1   |    78    |
|            |              |      |          |
|     ID     |     Play     |  1   |    79    |
|  NEWLINE   |              |  1   |    83    |
|            |              |      |          |
|  NEWLINE   |              |  1   |    84    |
|            |              |      |          |
|   LBRACE   |      {       |  1   |    85    |
|  NEWLINE   |              |  1   |    86    |
|            |              |      |          |
|  NEWLINE   |              |  1   |    87    |
|            |              |      |          |
|     ID     |     Move     |  1   |    88    |
|   LPAREN   |      (       |  1   |    92    |
|     ID     |     east     |  1   |    93    |
|   RPAREN   |      )       |  1   |    97    |
|  NEWLINE   |              |  1   |    98    |
|            |              |      |          |
|  NEWLINE   |              |  1   |    99    |
|            |              |      |          |
|     ID     |    sense     |  1   |   100    |
|   LPAREN   |      (       |  1   |   105    |
|   RPAREN   |      )       |  1   |   106    |
|  NEWLINE   |              |  1   |   107    |
|            |              |      |          |
|  NEWLINE   |              |  1   |   108    |
|            |              |      |          |
|     ID     |   compare    |  1   |   109    |
